[2023-04-28 11:27:36.303][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.5356726606726607 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.429][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.3375353812853813 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.545][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.31806006493506495 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.664][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.304788961038961 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.763][218812][debug][GetImageThread.cpp:PushData:147] Load 9 images, time elapsed:0.072929s
[2023-04-28 11:27:36.800][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.3360243922743923 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:36.916][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.3276723276723277 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.054][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.30703463203463205 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.202][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.2797681485181485 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.351][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.2587089993339993 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.512][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.26988428238428236 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.684][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:211] dOverlapRatio0.27400724275724275 > dOverlapRatioWithLastKF0,ignore this frame
[2023-04-28 11:27:37.826][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<130,37>
[2023-04-28 11:27:37.826][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:130, matched size:1
[2023-04-28 11:27:37.935][218814][info][APAPProjectThread.cpp:Run:382] process pair<130,37> finished.
[2023-04-28 11:27:38.066][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<131,67>
[2023-04-28 11:27:38.066][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:131, matched size:1
[2023-04-28 11:27:38.328][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<132,73>
[2023-04-28 11:27:38.328][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:132, matched size:1
[2023-04-28 11:27:38.418][218812][debug][GetImageThread.cpp:PushData:147] Load 9 images, time elapsed:0.068486s
[2023-04-28 11:27:38.619][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<133,61>
[2023-04-28 11:27:38.620][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:133, matched size:1
[2023-04-28 11:27:38.652][218814][info][APAPProjectThread.cpp:Run:382] process pair<131,67> finished.
[2023-04-28 11:27:38.894][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<134,67>
[2023-04-28 11:27:38.894][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:134, matched size:1
[2023-04-28 11:27:39.109][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<135,73>
[2023-04-28 11:27:39.109][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:135, matched size:1
[2023-04-28 11:27:39.338][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<136,73>
[2023-04-28 11:27:39.338][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:136, matched size:1
[2023-04-28 11:27:39.564][218814][info][APAPProjectThread.cpp:Run:382] process pair<132,73> finished.
[2023-04-28 11:27:39.611][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<137,67>
[2023-04-28 11:27:39.611][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:137, matched size:1
[2023-04-28 11:27:39.832][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:259] Add loop pair<138,73>
[2023-04-28 11:27:39.832][218813][info][FeatureMatchThread.cpp:LoopFeatureMatch:267] Add new key frame, id:138, matched size:1
